"   ","MANAGEID","VALIDATEDATE","VALIDATESTATE","SEG_NO","EBS_BILL_BATCH_ID","BILL_PASSWORD","RESULTMESSAGE","DEPTID","CHECKTYPE","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","BILL_ID","VALIDATE_USER","OPTFLAG"
"20","6edd055c208641dc827f34e866bc85c8","2014/3/31 14:56:25","00","00105101","","057912","0#输入参数不正确，请确认！不能仓库验单！","0101","11","2014/3/31 14:56:25","100003","","","0","0","DC140300854","100003",""
"21","b779e5b37131458db92ab038a01b24e7","2014/3/31 14:57:06","00","00105101","","057912","0#输入参数不正确，请确认！不能仓库验单！","0101","11","2014/3/31 14:57:06","100003","","","0","0","DC140300854","100003",""
"22","5de72d99cb8740b1a30ffee9a7cf2e1a","2014/3/31 14:57:20","11","00105101","TDB1403312103","057912","1#验单成功","0101","22","2014/3/31 14:57:20","100003","","","0","0","DC140300854","100003",""
"23","8a7b5b2ef18a4e3493b03ebcb228d282","2014/4/1 23:34:15","11","00146","TDB1403240699","942366","1#验单成功","0101","22","2014/4/1 23:34:15","1919","","","0","0","DC140302907","1919",""
"24","41d14e43218e447bb9c707f88f3fc0e9","2014/4/1 23:33:08","11","00146","TDB1403240701","086258","1#验单成功","0101","22","2014/4/1 23:33:08","1919","","","0","0","DC140302908","1919",""
"25","5a66007eefb542eda39983e639325648","2014/4/2 22:32:05","11","00146","TDB1403240702","693436","1#验单成功","0101","22","2014/4/2 22:32:05","100060","","","0","0","DC140302909","100060",""
"26","81f77dcb85e740f18c94620f1fe4faed","2014/4/2 22:33:41","11","00146","TDB1403240704","427556","1#验单成功","0101","22","2014/4/2 22:33:41","100060","","","0","0","DC140302910","100060",""
"27","3daffcb4f1334395b8175ff18caceef9","2014/4/2 22:35:04","11","00146","TDB1403240705","079460","1#验单成功","0101","22","2014/4/2 22:35:04","100060","","","0","0","DC140302911","100060",""
"28","7a36b2bb905f43d29ac5d27a4fd95f84","2014/4/2 22:36:43","11","00146","TDB1403240706","748303","1#验单成功","0101","22","2014/4/2 22:36:43","100060","","","0","0","DC140302912","100060",""
"29","348768868a984f08bc1b97f66f73a848","2014/4/3 15:34:31","11","00146","TDB1403250765","167696","1#验单成功","0101","22","2014/4/3 15:34:31","1818","","","0","0","DC140303014","1818",""
"30","7d81d19fa0e94a098a451f49263abdaa","2014/4/1 23:40:49","11","00142","TDB1403271470","077019","1#验单成功","0101","22","2014/4/1 23:40:49","1919","","","0","0","DC140304779","1919",""
"31","0f661be289b644a0b830f8bac3cdd68a","2014/4/2 22:29:54","11","00142","TDB1403271470","077019","1#验单成功","0101","22","2014/4/2 22:29:54","100060","","","0","0","DC140304779","100060",""
"32","33303a7802cc44329e7b43c3e76f17b5","2014/3/31 18:59:57","11","00105","TDB1403312051","431412","1#验单成功","0101","22","2014/3/31 18:59:57","100060","","","0","0","DC140305217","100060",""
"33","c6ecaa709622430d96189b7efef84acf","2014/3/31 16:28:47","11","00146","TDB1403312146","356009","1#验单成功","0101","22","2014/3/31 16:28:47","100002","","","0","0","DC140305493","100002",""
"34","b34a2ef8d06f4a81aacea97803f378f0","2014/3/31 12:33:32","11","00106","","037269","1#验单成功","0101","11","2014/3/31 12:33:32","100003","","","0","0","DC140306941","100003",""
"35","4bc0ec7200cd4216956bada17a8ce43e","2014/4/1 13:49:34","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:34","100003","","","0","0","DC140307906","100003",""
"36","1020d125dbf14b86b61416bee5e711b0","2014/4/2 15:43:57","11","00106","TDB1403261311","796981","1#验单成功","0101","22","2014/4/2 15:43:57","100003","","","0","0","DC140307906","100003",""
"37","6b8c0d5fef10445190eda99d93b59a81","2014/4/1 13:49:16","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:16","100003","","","0","0","DC140307906","100003",""
"38","e7cf941ad10748d6be3ecf1915f4d00c","2014/4/1 13:49:34","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:34","100003","","","0","0","DC140307907","100003",""
"39","7f40c0ea08bc498a8f4565b1b98147b8","2014/4/2 15:43:57","11","00106","TDB1403261311","796981","1#验单成功","0101","22","2014/4/2 15:43:57","100003","","","0","0","DC140307907","100003",""
"40","3004ae520b714ef6b47ad110fcbf1893","2014/4/1 13:49:16","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:16","100003","","","0","0","DC140307907","100003",""
"41","68d383622460409383d3ea2d1d4fd57b","2014/4/1 13:49:34","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:34","100003","","","0","0","DC140307908","100003",""
"42","77298c19fb8a4a6aac01b2e29521dfd6","2014/4/2 15:43:57","11","00106","TDB1403261311","796981","1#验单成功","0101","22","2014/4/2 15:43:57","100003","","","0","0","DC140307908","100003",""
"43","128a23c8550541b8a86d859905f1f3a8","2014/4/1 13:49:16","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:16","100003","","","0","0","DC140307908","100003",""
"44","b4c1ed3ed8e04796a2c26c996d0064db","2014/4/1 13:49:34","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:34","100003","","","0","0","DC140307909","100003",""
"45","4e824b0b357e4010b40eefbffaf6ebc1","2014/4/2 15:43:57","11","00106","TDB1403261311","796981","1#验单成功","0101","22","2014/4/2 15:43:57","100003","","","0","0","DC140307909","100003",""
"46","371dddcfc34a45c28c6844b1dfcceda7","2014/4/1 13:49:16","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:16","100003","","","0","0","DC140307909","100003",""
"47","76998f9a09b34a6c9980eaef2b6d9081","2014/4/1 13:49:34","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:34","100003","","","0","0","DC140307910","100003",""
"48","084ad02f4af44b84b66a8881feb15508","2014/4/2 15:43:57","11","00106","TDB1403261311","796981","1#验单成功","0101","22","2014/4/2 15:43:57","100003","","","0","0","DC140307910","100003",""
"49","00234861ca96479d8c68a7725152dbe5","2014/4/1 13:49:16","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:16","100003","","","0","0","DC140307910","100003",""
"50","fd5fbfcee9034dedb5defefd1aa739c1","2014/4/1 13:49:34","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:34","100003","","","0","0","DC140307911","100003",""
"51","e702043c05724344a0e0e8fb6ce9d30a","2014/4/2 15:43:57","11","00106","TDB1403261311","796981","1#验单成功","0101","22","2014/4/2 15:43:57","100003","","","0","0","DC140307911","100003",""
"52","22c21edea0b14da7949844617b897876","2014/4/1 13:49:16","00","00106","TDB1403261311","180344","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/1 13:49:16","100003","","","0","0","DC140307911","100003",""
"53","619f1205bfd94f50a55d46c1a2721ac7","2014/3/31 17:30:28","11","00106","TDB1403281880","160612","1#验单成功","0101","22","2014/3/31 17:30:28","100002","","","0","0","DC140308762","100002",""
"54","840efb630df14aa4825c401d09b9bcd3","2014/3/31 19:52:47","00","00106","TDB1403281905","755415","0#该提单已在仓库验单确认了,不能仓库验单！","0101","22","2014/3/31 19:52:47","100060","","","0","0","DC140308775","100060",""
"55","26025d3262e9410cb26a5716891b9e38","2014/4/3 14:42:14","11","00106","TDB1403281906","946019","1#验单成功","0101","22","2014/4/3 14:42:14","100006","","","0","0","DC140308787","100006",""
"56","75d524ff888d44ce9f06c572010da6ad","2014/4/3 14:39:39","11","00106","TDB1403281907","017418","1#验单成功","0101","22","2014/4/3 14:39:39","100006","","","0","0","DC140308788","100006",""
"57","02834c75544048d38dda89816b6872e7","2014/3/31 17:57:58","11","00106","TDB1403281908","121571","1#验单成功","0101","22","2014/3/31 17:57:58","100006","","","0","0","DC140308789","100006",""
"58","e5c9586c1cd746e5ad0692a9f8064ea9","2014/4/8 20:25:35","11","00106","TDB1403281909","715024","1#验单成功","0101","22","2014/4/8 20:25:35","100060","","","0","0","DC140308790","100060",""
"59","0b41cabf19784b1195b0168f108b4e00","2014/4/3 20:29:48","11","00106","TDB1403281910","755672","1#验单成功","0101","22","2014/4/3 20:29:48","1919","","","0","0","DC140308791","1919",""
"60","1c9d605982664ec69d211ab66847e9e9","2014/4/1 17:02:24","11","00106","TDB1403281911","037289","1#验单成功","0101","22","2014/4/1 17:02:24","100006","","","0","0","DC140308792","100006",""
"61","a0d76dd54d834118b20a5cd4bb973149","2014/4/3 20:29:31","11","00106","TDB1403281912","672145","1#验单成功","0101","22","2014/4/3 20:29:31","1919","","","0","0","DC140308793","1919",""
"62","6517ce1b2d3b43e8bbf30c6a7b9cf794","2014/4/9 14:05:44","11","00106","TDB1403281913","802981","1#验单成功","0101","22","2014/4/9 14:05:44","100003","","","0","0","DC140308794","100003",""
"63","b4546533309f40b9b8da94880bce6f0e","2014/3/31 18:40:48","11","00106","TDB1403281914","048364","1#验单成功","0101","22","2014/3/31 18:40:48","100060","","","0","0","DC140308795","100060",""
"64","69c502add6aa472b814898c6b5af61ac","2014/4/1 15:01:39","11","00106","TDB1403281915","523020","1#验单成功","0101","22","2014/4/1 15:01:39","100006","","","0","0","DC140308796","100006",""
"65","40f8e711e633420aa405f523895f666a","2014/4/5 13:47:28","00","00106","TDB1403281916","603691","0#该提单已在仓库验单确认了,不能仓库验单！","0101","22","2014/4/5 13:47:28","1818","","","0","0","DC140308797","1818",""
"66","ca89bc130e434c55a1aa7dc711531e22","2014/4/3 21:12:52","11","00106","TDB1403281916","603691","1#验单成功","0101","22","2014/4/3 21:12:52","1919","","","0","0","DC140308797","1919",""
"67","7dbff445d27842cfaab0cd8df9223a8d","2014/4/3 14:37:19","11","00106","TDB1403281917","762658","1#验单成功","0101","22","2014/4/3 14:37:19","100006","","","0","0","DC140308798","100006",""
"68","1bdad42e410c4b07ba98b9dc9247b33e","2014/4/3 14:38:28","11","00106","TDB1403281918","808174","1#验单成功","0101","22","2014/4/3 14:38:28","100006","","","0","0","DC140308799","100006",""
"69","f1e0d2dd29764a749b52b68d9bf5b60e","2014/4/8 14:15:39","11","00106","TDB1403281919","168505","1#验单成功","0101","22","2014/4/8 14:15:39","100006","","","0","0","DC140308800","100006",""
"70","08a96bdb7da34ebd86891ec9f2138078","2014/4/8 18:45:11","11","00106","TDB1403281920","875899","1#验单成功","0101","22","2014/4/8 18:45:11","100060","","","0","0","DC140308801","100060",""
"71","27e9d7db945c494892e8a98e8593866a","2014/4/11 0:38:16","11","00106","TDB1403281921","160693","1#验单成功","0101","22","2014/4/11 0:38:16","100060","","","0","0","DC140308802","100060",""
"72","6ef448300e3545e695dfb1e99c6e2676","2014/4/9 14:12:07","11","00106","TDB1403281922","423299","1#验单成功","0101","22","2014/4/9 14:12:07","100003","","","0","0","DC140308803","100003",""
"73","9d400798220b4cf5b154c29053fce2fe","2014/4/9 15:42:28","11","00106","TDB1403281923","434973","1#验单成功","0101","22","2014/4/9 15:42:28","100003","","","0","0","DC140308804","100003",""
"74","4c55078ee14d4d71826d1f716a0c06e8","2014/4/9 14:09:35","11","00106","TDB1403281924","981263","1#验单成功","0101","22","2014/4/9 14:09:35","100003","","","0","0","DC140308805","100003",""
"75","8bd75e90dd7c4909939eedfdb916fa82","2014/4/9 15:44:11","11","00106","","133936","1#验单成功","0101","11","2014/4/9 15:44:11","100002","","","0","0","DC140308806","100002",""
"76","0b103f9f53c640c18ecf6370e1fec0c6","2014/4/8 13:42:04","11","00106","TDB1403281927","713688","1#验单成功","0101","22","2014/4/8 13:42:04","100006","","","0","0","DC140308808","100006",""
"77","5ab8040493e6435eb9b72b4ca20c04db","2014/4/1 19:31:21","11","00106","TDB1403281928","547566","1#验单成功","0101","22","2014/4/1 19:31:21","1919","","","0","0","DC140308809","1919",""
"78","6df28136519b4f23b2ea6e5405041aa6","2014/4/9 15:17:18","11","00106","","853248","1#验单成功","0101","11","2014/4/9 15:17:18","100002","","","0","0","DC140308810","100002",""
"79","f979b093e597441fb2c6492e482dcbbd","2014/4/11 0:36:26","11","00106","TDB1403281930","328487","1#验单成功","0101","22","2014/4/11 0:36:26","100060","","","0","0","DC140308811","100060",""
"80","60c59217293c49cfb29328bf66c4cf9e","2014/4/11 0:07:12","11","00106","TDB1403281931","789676","1#验单成功","0101","22","2014/4/11 0:07:12","100060","","","0","0","DC140308812","100060",""
"81","32c64a203b6d4bff8be426c97310fce2","2014/4/17 16:29:04","11","00106","TDB1403281932","709956","1#验单成功","0101","22","2014/4/17 16:29:04","100006","","","0","0","DC140308813","100006",""
"82","16654591c3c7422a9f4031aa78b6518e","2014/4/9 14:10:59","11","00106","TDB1403281933","803265","1#验单成功","0101","22","2014/4/9 14:10:59","100003","","","0","0","DC140308814","100003",""
"83","eb6473e993c84de8a2d93dde714009b6","2014/4/9 20:00:07","11","00106","TDB1403281934","621982","1#验单成功","0101","22","2014/4/9 20:00:07","1919","","","0","0","DC140308815","1919",""
"84","5efb297294a646b3a81d6e1c5b1b624b","2014/4/9 15:42:45","11","00106","","583467","1#验单成功","0101","11","2014/4/9 15:42:45","100002","","","0","0","DC140308816","100002",""
"85","05dedadd9179480090fb9d8c34e5b421","2014/4/11 18:04:28","11","00106","TDB1403281936","946731","1#验单成功","0101","22","2014/4/11 18:04:28","1919","","","0","0","DC140308817","1919",""
"86","9ace2aaa2bda43c39ccdd7502a448787","2014/4/21 17:42:18","00","00106","TDB1403281937","066560","0#该提单密码错误,不能仓库验单！","0101","22","2014/4/21 17:42:18","100002","","","0","0","DC140308818","100002",""
"87","1e342d43912c494190027a61cc5cd29c","2014/4/21 17:42:50","11","00106","TDB1403281937","006560","1#验单成功","0101","22","2014/4/21 17:42:50","100002","","","0","0","DC140308818","100002",""
"88","e098999c6b8741d190bfeddd25b3cb5f","2014/4/15 12:43:42","00","00106","TDB1403281938","663477","0#该提单已在仓库验单确认了,不能仓库验单！","0101","22","2014/4/15 12:43:42","100002","","","0","0","DC140308819","100002",""
"89","da758891a2bb452095372a0c6cec72c9","2014/4/9 14:03:39","11","00106","TDB1403281939","258885","1#验单成功","0101","22","2014/4/9 14:03:39","100003","","","0","0","DC140308820","100003",""
"90","58ad4609628f4bd0aebaef0f1052b4d7","2014/4/4 14:08:11","11","00106","TDB1403281940","367364","1#验单成功","0101","22","2014/4/4 14:08:11","100003","","","0","0","DC140308821","100003",""
"91","569b424770f3481e94701da7bf4c2a33","2014/4/9 15:39:36","11","00106","TDB1403281941","491374","1#验单成功","0101","22","2014/4/9 15:39:36","100003","","","0","0","DC140308822","100003",""
"92","180aead3ce694171a2c9524acab30895","2014/4/9 15:40:55","11","00106","","930711","1#验单成功","0101","11","2014/4/9 15:40:55","100002","","","0","0","DC140308824","100002",""
"93","a44feffe40c94ec899e4586271c79862","2014/4/9 15:41:18","11","00106","TDB1403281944","340340","1#验单成功","0101","22","2014/4/9 15:41:18","100003","","","0","0","DC140308825","100003",""
"94","daf0553049d04b5886bca017b0d0efa8","2014/4/8 20:29:02","11","00106","TDB1403281945","130131","1#验单成功","0101","22","2014/4/8 20:29:02","100060","","","0","0","DC140308826","100060",""
"95","4bba5f7f78aa46f293e06d8cba109eac","2014/4/4 19:44:05","11","00106","TDB1403281946","011218","1#验单成功","0101","22","2014/4/4 19:44:05","100060","","","0","0","DC140308827","100060",""
"96","82703e7f21a14bc1bcc4e211abea132a","2014/4/4 14:08:47","11","00106","TDB1403281947","296017","1#验单成功","0101","22","2014/4/4 14:08:47","100003","","","0","0","DC140308828","100003",""
"97","dc7e34bd6a534e5582ee75e3f4663d79","2014/4/8 14:16:29","11","00106","TDB1403281948","915868","1#验单成功","0101","22","2014/4/8 14:16:29","100006","","","0","0","DC140308829","100006",""
"98","460e3b8bd9a24dd18b1b216a7425eeda","2014/4/1 13:28:50","00","00106","TDB1403281949","835679","0#该提单已在仓库验单确认了,不能仓库验单！","0101","22","2014/4/1 13:28:50","100003","","","0","0","DC140308830","100003",""
"99","3aa06c5ad3f8491d9d509885247c4120","2014/3/31 22:07:00","11","00106","TDB1403281950","804510","1#验单成功","0101","22","2014/3/31 22:07:00","100060","","","0","0","DC140308831","100060",""
