"   ","PROCMATERIALDTLID","DEPTID","PROCESSID","PACKNUM","GOODSID","BARCODE","GOODSLOCID","OWNERID","OWNERNAME","GOODSOWNERMANAGENO","GOODSOWNERPACKNO","MANAGENO","FEEBEGINDATE","CONTRACTID","GOODSSTATENO","GOODSSTATENAME","CHANGEOWNERTIMES","GOODSTYPE","GOODSTYPENAME","KINDNO","KINDNAME","SHOPSIGNID","SHOPSIGNNAME","PRODAREAID","PRODAREANAME","GOODSBATCHNO","PRODSTOVENO","GRADENUM","GRADENUMTHICK","GRADENUMWIDTH","GRADENUMLENGTH","GROSSWEIGHT","NETWEIGHT","POUNDWEIGHT","CHECKWEIGHT","SHEETNUM","PACKTYPE","PACKTYPENAME","UNIT","QUALITYMEMO","FIRSTINOWNERID","FIRSTINDATE","INBILLID","INTYPE","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","ORDERBY","R_RECORD_CHANGE_FLAG","SHOPSIGNCD","CUSTOMERID","CHANXIAN","PLY","MEMO","JYZXFLAG","LOCLV1","LOCLV2","SPECIALMEMO"
"11","063846159ba6429899faab8b5ccb57d5","0101","0114090707","D140716332D","49c2498145294017a2bf690ca3527363","1232207929627","DA1362","KH00028","上海宝顺昌国际贸易有限公司","","","MXD银大614812N","2014/8/13 20:10:00","","110","加工完成","3","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000057","本钢","","","3*1500*0","3.000000","1500.000000","0.000000","22.200000","22.200000","22.200000","22.200000","1.000000","","","","","KH01528","2014/8/14 9:45:32","RK1408140015","70","2014/9/16 9:48:50","100006","","","0","1","0","","","","0","","","","",""
"12","dbe2cba887664e2d9b2b7c25628ac1a4","0101","0114121163","140734661S","58982d40617e49e78d5c233d58d734bf","1232207926244","IC1112","KH00028","上海宝顺昌国际贸易有限公司","","","SXJM金兆22140813ZH","2014/8/12 8:26:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","2.5*1250*0","2.500000","1250.000000","0.000000","19.620000","19.620000","19.620000","19.620000","1.000000","","","","","KH04647","2014/8/13 13:31:06","RK1408130078","70","2014/12/26 10:44:07","1818","","","0","0","0","","","","0","","0","","",""
"13","68409efbbbb7410eb036794be8900209","0101","0114121163","140732815S","b48387f3101f45a0b5645e41ba551a17","1232207926787","CB1452","KH00028","上海宝顺昌国际贸易有限公司","","","SXJM金兆22140813ZH","2014/8/12 11:55:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","2.5*1250*0","2.500000","1250.000000","0.000000","19.590000","19.590000","19.590000","19.590000","1.000000","","","","","KH04647","2014/8/13 13:31:06","RK1408130078","70","2014/12/26 10:44:07","1818","","","0","1","0","","","","0","","0","","",""
"14","986bfeb80e3543d3b606f6a837fe3d6b","0101","0114121163","140733213S","2199ce7440c7453ea216e4e3577a515a","1232207926756","CA1111","KH00028","上海宝顺昌国际贸易有限公司","","","SXJM金兆22140813ZH","2014/8/12 12:03:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","2.5*1250*0","2.500000","1250.000000","0.000000","19.610000","19.610000","19.610000","19.610000","1.000000","","","","","KH04647","2014/8/13 13:31:06","RK1408130078","70","2014/12/26 10:44:07","1818","","","0","2","0","","","","0","","0","","",""
"15","17f0a0f7138b496aba88f1e005addb2b","0101","0114060456","140518241S","799f4f4079ae4be7a76bd8db125cfc3c","1232207986873","DE2712","KH00028","上海宝顺昌国际贸易有限公司","","","SXJM天润之820140531Y","2014/5/30 14:51:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000362","SPHD","CD000057","本钢","","","4.5*1250*0","4.500000","1250.000000","0.000000","19.530000","19.530000","19.530000","19.530000","1.000000","","","","","KH04647","2014/5/31 9:06:53","RK1405310026","70","2014/6/11 11:23:31","100006","","","0","0","0","","","","0","","","","",""
"16","a2c7f1bcdd584dd3b9687a1c80aca9fc","0101","0114050282","A140422572S","e4ac536d9db04539b3fab603fd31e1ad","1232207966677","CD2622","KH00038","上海德辰物资有限公司","","","SXJM银大6140423MM","2014/4/22 23:14:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","6*1500*0","6.000000","1500.000000","0.000000","29.400000","29.400000","29.400000","29.400000","1.000000","","","","","KH04647","2014/4/23 12:47:59","RK1404230073","70","2014/5/7 16:17:49","100006","","","0","0","0","","","","0","","","","",""
"17","8af54bf4cac240ef9ed1a6ae1b4d6fec","0101","0114070691","D140223722P","5879467831084593ae76996c3e75564e","1232207956081","CD1462","KH00043","上海百庆钢铁有限公司","","","SXJM富翔10140401R","2014/4/1 10:28:28","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","2*1250*0","2.000000","1250.000000","0.000000","19.520000","19.520000","19.520000","19.520000","1.000000","","","","","KH04647","2014/4/1 10:28:28","RK1404010026","70","2014/7/14 13:09:14","100006","","","0","0","0","","","","0","","","","",""
"18","b06fe93c8592492082254162a9b3024b","0101","0114080648","R4169504602","6a053d154e084902bcad933fc041eccc","1232207924110","CB2531","KH00043","上海百庆钢铁有限公司","TI13140700033","R4169504602","I4D0000697","2014/8/10 15:12:00","TI13140700033","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","","宝钢","","155587","2*1250*C","2.000000","1250.000000","0.000000","11.690000","11.690000","11.690000","11.690000","1.000000","","","","","KH00004","2014/8/11 9:50:14","RK1408110003","70","2014/8/18 16:57:27","100006","","","0","0","0","","","","0","","","","",""
"19","87e0d4f292144071b4989cc41ad9aedd","0101","0115060296","1115010799","a7f2407ce30a44dabe40d662ef33e6c6","1115010799","CB2132","KH00049","定金加工","TI131505000003","1115010799","I5K0000212","2015/6/6 19:04:59","TI131505000003","110","加工完成","0","018001","普通货物","PZ001001004","热卷","GZ000223","09CUPCRNI-A","CD000002","宝钢","","15147253","2*1250*C","2.000000","1250.000000","0.000000","11.460000","11.460000","11.460000","11.460000","1.000000","","","","","KH00049","2015/6/8 10:05:21","RK1506080001","20","2015/6/9 14:27:22","100006","","","0","0","0","","","","0","","0","","",""
"20","cafa28499c2c491ea08ece8261fb18ec","0101","0115060929","115347007100","ee417ed5d93c45cab7b54a6e0233cf24","115347007100","CC1232","KH00049","定金加工","","","I5DC000131","2015/5/20 14:11:16","","110","加工完成","0","018001","普通货物","PZ001001004","热卷","GZ000241","B510L","CD000002","宝钢","","","7*1354*0","7.000000","1354.000000","0.000000","25.000000","25.000000","25.000000","25.000000","1.000000","","","","","KH00049","2015/5/20 14:11:16","RK1505200054","20","2015/6/30 15:26:38","100003","","","0","0","0","","","","0","","0","","",""
"21","15a363a6c9a94f06add51a2193ab49b5","0101","0115050362","1115006607","f4d0b29e733c4ef298e82c53c7ac2072","1115006607","FA1162","KH00050","上海顺渊金属材料有限公司","I5J0005036","1115006607","I5J0005036","2015/4/15 18:03:04","I5J0005036","110","加工完成","2","018001","普通货物","PZ001001004","热卷","GZ002220","BS700MC","CD000002","宝钢","","15412543","2.02*1100*C","2.020000","1100.000000","0.000000","4.660000","4.660000","4.660000","4.660000","1.000000","","","","","KH06759","2015/4/15 19:42:34","RK1504150035","70","2015/5/12 10:41:12","1818","","","0","0","0","","","","0","","1","","",""
"22","03b8c538d5034078bdb446cf6e546ade","0101","0114040430","C460751500","2d40b6114c674bdc8feb567792a2e9ff","1231208343876","KB1111","KH00050","上海顺渊金属材料有限公司","","","6HKMXD140409","2014/4/9 9:55:00","","110","加工完成","0","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000057","本钢","","","11.75*1500*0","11.750000","1500.000000","0.000000","28.230000","28.230000","28.230000","28.230000","1.000000","","","","","KH00050","2014/4/9 10:00:41","RK1404090005","20","2014/4/9 10:13:51","100006","","","0","0","0","","0114040430","","0","","","","",""
"23","1ff46baeaf32406ebc7d82ba5287e220","0101","0114110122","H4M4020318","9a995655b7754ad4ab1f356231401564","1232207170319","CD1642","KH00065","上海钢宇商贸有限公司","","","JFJS豫信13208141027A","2014/10/28 11:12:53","","110","加工完成","2","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000064","武钢","","","1.4*1000*0","1.400000","1000.000000","0.000000","16.140000","16.140000","16.140000","16.140000","1.000000","","","","","KH03577","2014/10/28 11:12:53","RK1410280034","70","2014/11/4 12:14:13","100006","","","0","0","0","","","","0","","","","",""
"24","e3f32ab102774ffab5b6b008d00694c0","0101","0114121316","D141127123D","b68e749f71dc4aedbc82a5a6771cc627","1232207104734","CB1332","KH00075","上海沪达钢铁物资有限公司","","","SXJM永星21141222W","2014/12/23 7:10:17","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","3.2*1500*0","3.200000","1500.000000","0.000000","22.210000","22.210000","22.210000","22.210000","1.000000","","","","","KH04647","2014/12/23 11:31:24","RK1412230020","70","2014/12/30 9:13:20","100006","","","0","0","0","","","","0","","0","","",""
"25","cb3119fc58a0456fb2f8015f93ea6383","0101","0114121316","D141127121D","627c2fc49eff46e4b2cf8562206cff18","1232207104796","CB2652","KH00075","上海沪达钢铁物资有限公司","","","SXJM永星21141222W","2014/12/23 7:10:17","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","3.2*1500*0","3.200000","1500.000000","0.000000","22.300000","22.300000","22.300000","22.300000","1.000000","","","","","KH04647","2014/12/23 11:31:24","RK1412230020","70","2014/12/30 9:13:20","100006","","","0","1","0","","","","0","","0","","",""
"26","19b9563965304991bd6942c34aabc96e","0101","0114121316","D141127122D","5da1b1d8c56542ecb308c8db50b12322","1232207104802","CC1232","KH00075","上海沪达钢铁物资有限公司","","","SXJM永星21141222W","2014/12/23 7:10:17","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","3.2*1500*0","3.200000","1500.000000","0.000000","22.250000","22.250000","22.250000","22.250000","1.000000","","","","","KH04647","2014/12/23 11:31:24","RK1412230020","70","2014/12/30 9:13:20","100006","","","0","2","0","","","","0","","0","","",""
"27","274b9820c55d47a2989efb789b832cc9","0101","0114121315","D141129893D","41e71b2a23fc4831b773772a1c4061cb","1232207109036","DD1312","KH00075","上海沪达钢铁物资有限公司","","","SXJM泓尚6141225Y","2014/12/26 21:15:34","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","5.75*1500*0","5.750000","1500.000000","0.000000","22.440000","22.440000","22.440000","22.440000","1.000000","","","","","KH04647","2014/12/27 9:54:23","RK1412270013","70","2014/12/30 9:12:36","100006","","","0","0","0","","","","0","","0","","",""
"28","4d19bcb545db437b9ae1c43b90be1d1b","0101","0114121315","D141129881D","891a468a9b9848f2afcae6a6f1a3f820","1232207108206","ID1232","KH00075","上海沪达钢铁物资有限公司","","","SXJM泓尚6141225Y","2014/12/26 21:15:49","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","5.75*1500*0","5.750000","1500.000000","0.000000","22.460000","22.460000","22.460000","22.460000","1.000000","","","","","KH04647","2014/12/27 9:54:23","RK1412270013","70","2014/12/30 9:12:37","100006","","","0","1","0","","","","0","","0","","",""
"29","3656c5844e08458f83717e890224bf1b","0101","0114101126","D140914721D","61e01a6f67314b8c812aaaa9828a8ff9","1232207157020","DB2341","KH00075","上海沪达钢铁物资有限公司","","","SXJM力达9141008U","2014/10/9 7:20:45","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","5.75*1500*0","5.750000","1500.000000","0.000000","22.430000","22.430000","22.430000","22.430000","1.000000","","","","","KH04647","2014/10/9 10:47:05","RK1410090038","70","2014/10/29 11:40:31","100006","","","0","0","0","","","","0","","","","",""
"30","f62847570c624d7a9c8e3e556225b0b8","0101","0114101126","D140914723D","82e4ad68ec1d4e7a88c5d99c3c7ae8f3","1232207157051","DB1361","KH00075","上海沪达钢铁物资有限公司","","","SXJM力达9141008U","2014/10/9 7:20:45","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","5.75*1500*0","5.750000","1500.000000","0.000000","22.400000","22.400000","22.400000","22.400000","1.000000","","","","","KH04647","2014/10/9 10:47:05","RK1410090038","70","2014/10/29 11:40:31","100006","","","0","1","0","","","","0","","","","",""
"31","ab5d5018c4b44c6993b3e8e8c7b71ea0","0101","0115010212","114633600300","67cf8e0ea75144a1987ef378bfa355cf","114633600300","IA3131","KH00087","上海竞冶钢铁贸易有限公司","TI151406000094","114633600300","I4LC000407","2014/6/30 20:44:00","TI151406000094","110","加工完成","1","018001","普通货物","PZ001001014","直发卷","GZ000052","QStE420TM","","宝钢","","14132519","5*1500*C","5.000000","1500.000000","0.000000","24.820000","24.820000","24.820000","24.820000","1.000000","","","","","KH00132","2014/7/1 10:22:50","RK1407010012","70","2015/1/7 17:21:17","100002","","","0","0","0","","","","0","","0","","",""
"32","282b11a08c6947eab2f3b8f0bbf0e291","0101","0114040842","D140221151S","d959cfb209034705b189827808cbf4de","1232207954865","IA1632","KH00090","上海舜业钢铁加工有限公司","","","SXJM富翔10140401B","2014/3/31 20:45:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000057","本钢","","","2.3*1500*0","2.300000","1500.000000","0.000000","22.080000","22.080000","22.080000","22.080000","1.000000","","","","","KH04647","2014/4/1 9:55:38","RK1404010005","70","2014/4/16 16:42:32","100006","","","0","0","0","","0114040842","","0","","","","",""
"33","04e753d129904d4a9ca44df5da124028","0101","0115030506","D141017661D","25551e4308b04e0c9c04f820b50a462c","1232207184200","CE2342","KH00091","上海恒义物资有限公司","","","SXJM海力7141119ZD","2014/11/20 12:25:43","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","7*1500*0","7.000000","1500.000000","0.000000","22.370000","22.370000","22.370000","22.370000","1.000000","","","","","KH04647","2014/11/20 12:28:52","RK1411200041","70","2015/3/13 10:54:43","100006","","","0","0","0","","","","0","","0","","",""
"34","bad61afe4dc743338225995e7db38f8c","0101","0115040947","115296100800","d752dc13a32341a1b43254fb510efae6","115296100800","EB1931","KH00091","上海恒义物资有限公司","I5J0005128","115296100800","I5J0005128","2015/4/18 18:08:53","I5J0005128","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000617","SS330","CD000002","宝钢","","15145752","3.47*1524*C","3.470000","1524.000000","0.000000","30.480000","30.480000","30.480000","30.480000","1.000000","","","","","KH06759","2015/4/19 8:37:19","RK1504190002","70","2015/4/23 11:28:05","100006","","","0","0","0","","","","0","","1","","",""
"35","285383a0de754aa4aa2a59f7cdc7265e","0101","0115050905","115416502900","8576714e761c46bab126505342c9919b","115416502900","HC1452","KH00091","上海恒义物资有限公司","I5J0006459","115416502900","I5J0006459","2015/5/16 18:25:13","I5J0006459","110","加工完成","1","018001","普通货物","PZ001001010","热轧卷","GZ002594","IF-1","CD000002","宝钢","","15147733","4.29*1705*C","4.290000","1705.000000","0.000000","26.683000","26.683000","26.683000","26.683000","1.000000","","","","","KH06759","2015/5/18 9:56:50","RK1505180034","70","2015/5/27 14:54:30","100006","","","0","0","0","","","","0","","1","","",""
"36","ba4d30a5f9504f5eae64e1aa7eb1cfea","0101","0115050740","115269801000","16b0509f4c9b46bcb4fa6eaec06361c2","115269801000","HD1441","KH00091","上海恒义物资有限公司","I5J0004853","115269801000","I5J0004853","2015/4/11 6:55:26","I5J0004853","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ002594","IF-1","CD000002","宝钢","","15145001","5.72*1270*C","5.720000","1270.000000","0.000000","26.020000","26.020000","26.020000","26.020000","1.000000","","","","","KH06759","2015/4/11 8:32:20","RK1504110027","70","2015/5/22 11:05:53","100006","","","0","0","0","","","","0","","1","","",""
"37","0eb1860a90e048caa7688cff98547525","0101","0114070026","A140422541S-02","79a24cc061674ebc84f53f7ec82fef90","1231208147373","KB1111","KH00091","上海恒义物资有限公司","","","SXJM银大6140423NN","2014/4/25 12:40:59","","110","加工完成","1","018004","加工成品","PZ001001004","热卷","GZ000005","SPHC","CD000057","","","","7*1500*0","7.000000","1500.000000","0.000000","24.230000","24.230000","24.230000","24.230000","1.000000","","","","","KH04647","2014/4/25 12:40:59","","70","2014/7/1 13:27:29","100006","","","0","0","0","","","","0","","","","",""
"38","9b0277cca0914a11967004ce8d8125b2","0101","0114070026","140533762S","34ce00a4732f420b94e339acdbddd341","1232207983797","CF1132","KH00091","上海恒义物资有限公司","","","SXJM兴宁120140610ZZB","2014/6/10 21:20:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","7*1500*0","7.000000","1500.000000","0.000000","21.985000","21.985000","21.985000","21.985000","1.000000","","","","","KH04647","2014/6/11 11:09:37","RK1406110078","70","2014/7/1 13:27:29","100006","","","0","1","0","","","","0","","","","",""
"39","95e17f51704e4bc7909be72cd2a4557a","0101","0114070510","D140325851D","445c9819b30244ca8112e35275dd5dfe","1232207963300","DC1232","KH00091","上海恒义物资有限公司","","","SXJM富翔1020140414O","2014/4/13 19:53:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","7*1500*0","7.000000","1500.000000","0.000000","22.640000","22.640000","22.640000","22.640000","1.000000","","","","","KH04647","2014/4/14 9:21:20","RK1404140016","70","2014/7/10 11:33:33","100006","","","0","0","0","","","","0","","","","",""
"40","9bdef800645b4d16bbd3b6c7e147df59","0101","0114120082","124885050600","7f21c4ba313f49489c7dc040aae587e9","124885050600","EF1212","KH00091","上海恒义物资有限公司","I4J0000023","124885050600","I4J0000023","2014/11/8 11:01:04","I4J0000023","110","加工完成","2","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","","宝钢","","14209291","6.03*1269*C","6.030000","1269.000000","0.000000","25.110000","25.110000","25.110000","25.110000","1.000000","","","","","KH06759","2014/11/8 10:55:53","RK1411080004","70","2014/12/2 10:04:33","100006","","","0","0","0","","","","0","","1","","",""
"41","6bfb96e43f2c4306bdc26bfb399060b2","0101","0114050576","44109057","e14a065cfe21462b9b0a4e2da2d466cb","1232207966318","ID1621","KH00091","上海恒义物资有限公司","","","ZJHH浙定58228140424E","2014/4/23 11:56:00","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000229","宁波钢铁","","","7*1500*0","7.000000","1500.000000","0.000000","27.630000","27.630000","27.630000","27.630000","1.000000","","","","","KH02655","2014/4/24 9:15:53","RK1404240007","70","2014/5/14 11:57:18","100006","","","0","0","0","","","","0","","","","",""
"42","7f207e4e002a4968ab7ef8ac56ca01b9","0101","0114100281","D140821751D","e4f1a0bec36548789327fbc940ce3fc4","1232207152988","DD1532","KH00091","上海恒义物资有限公司","","","SXJM富宏1620140911J","2014/9/11 7:28:59","","110","加工完成","1","018001","普通货物","PZ001001004","热卷","GZ000419","Q235B","CD000057","本钢","","","4.75*1500*0","4.750000","1500.000000","0.000000","22.620000","22.620000","22.620000","22.620000","1.000000","","","","","KH04647","2014/9/11 9:19:23","RK1409110017","70","2014/10/10 16:17:30","100006","","","0","0","0","","","","0","","","","",""
"43","18f6b2e4fef64e39a6b5f0ef9e1a61bd","0101","0114051216","A140305884S","4CD1972455B647E29DACB00512DCDFAB","1231208166147","IB1152","KH00091","上海恒义物资有限公司","","","MXD瑞远1620140325Q","2014/3/25 10:05:00","","110","加工完成","2","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","4.5*1500*0","4.500000","1500.000000","0.000000","29.390000","29.390000","0.000000","29.390000","1.000000","","","","","KH01528","2014/3/25 10:04:00","","70","2014/5/28 14:37:56","100006","","","0","0","0","","","","0","","","","",""
"44","b176979498eb4a18a24b166159995b71","0101","0114051216","A140305881S","33DE53C5BCA04EB19E08107747FA3548","1231208166137","IC2113","KH00091","上海恒义物资有限公司","","","MXD瑞远1620140325Q","2014/3/25 10:05:00","","110","加工完成","2","018001","普通货物","PZ001001004","热卷","GZ000005","SPHC","CD000057","本钢","","","4.5*1500*0","4.500000","1500.000000","0.000000","29.310000","29.310000","0.000000","29.310000","1.000000","","","","","KH01528","2014/3/25 10:04:00","","70","2014/5/28 14:37:56","100006","","","0","1","0","","","","0","","","","",""
